Date,open,high,low,close,volume,dividends,stock splits
2009-03-31,3.210266594725417,3.271153968664401,3.1965673166496646,3.200220823287964,570080000,0.0,0.0
2009-04-01,3.168863718581017,3.3183412617876944,3.162774879552284,3.3089041709899902,589372000,0.0,0.0
2009-04-02,3.353047049565221,3.493391758334563,3.342087341168153,3.4312868118286133,812366800,0.0,0.0
2009-04-03,3.4763422455281847,3.5354027522962137,3.455945451999307,3.5311405658721924,636241200,0.0,0.0
2009-04-06,3.4991738354423108,3.6151633113418793,3.4486373115970017,3.6060304641723633,658064400,0.0,0.0
2009-04-07,3.5475806334170334,3.551842820088098,3.476342447022718,3.5010018348693848,536580800,0.0,0.0
2009-04-08,3.514092363802576,3.5554952427156965,3.488215615289936,3.541187286376953,455630000,0.0,0.0
2009-04-09,3.6051194843217886,3.6532196868072253,3.591114748086296,3.6401290893554688,530756800,0.0,0.0
2009-04-13,3.653523596983478,3.6830540588056557,3.622776180325981,3.659916877746582,389236400,0.0,0.0
2009-04-14,3.6401292759322796,3.6583957939610676,3.569500365412602,3.6017704010009766,454622000,0.0,0.0
2009-04-15,3.5679780757321136,3.599944078744149,3.5241400543083055,3.581373929977417,412882400,0.0,0.0
2009-04-16,3.628560645651984,3.749116404885363,3.61638296777827,3.6973628997802734,593446000,0.0,0.0
2009-04-17,3.6891427730337782,3.782604413472342,3.6608304863967365,3.757336139678955,497495600,0.0,0.0
2009-04-20,3.70588611933762,3.7442449839632586,3.627646180659574,3.668440580368042,466466000,0.0,0.0
2009-04-21,3.6194260089248145,3.7183679892234904,3.610597601301449,3.706798791885376,470685600,0.0,0.0
2009-04-22,3.73328538661347,3.8160919514437808,3.6897506045911497,3.699188709259033,938767200,0.0,0.0
2009-04-23,3.8547551067478047,3.8724123303538756,3.7600753023998346,3.8176136016845703,945156800,0.0,0.0
2009-04-24,3.7944778271227277,3.809699517914564,3.743637241680048,3.771949529647827,540764000,0.0,0.0
2009-04-27,3.7415051797237444,3.8054363457963167,3.7341981684672647,3.7972164154052734,480690000,0.0,0.0
2009-04-28,3.7552052226658064,3.8422739931141305,3.752465651624204,3.771949529647827,455856800,0.0,0.0
