Date,QQQ
2009-01-02,26.78470802307129
2009-01-05,26.776073455810547
2009-01-06,27.043664932250977
2009-01-07,26.27542495727539
2009-01-08,26.5516414642334
2009-01-09,25.95604705810547
2009-01-12,25.481287002563477
2009-01-13,25.489931106567383
2009-01-14,24.71305274963379
2009-01-15,25.118751525878906
2009-01-16,25.394973754882812
2009-01-20,24.134716033935547
2009-01-21,25.161911010742188
2009-01-22,24.825265884399414
2009-01-23,24.94611358642578
2009-01-26,25.12738800048828
2009-01-27,25.308650970458984
2009-01-28,26.197731018066406
2009-01-29,25.533084869384766
2009-01-30,25.084218978881836
2009-02-02,25.386341094970703
2009-02-03,25.783401489257812
2009-02-04,25.81792640686035
2009-02-05,26.387643814086914
2009-02-06,27.07819175720215
2009-02-09,27.190414428710938
2009-02-10,26.18910789489746
2009-02-11,26.068262100219727
2009-02-12,26.387643814086914
2009-02-13,26.266796112060547
2009-02-17,25.22233009338379
2009-02-18,25.239604949951172
2009-02-19,24.85117530822754
2009-02-20,24.920217514038086
2009-02-23,24.048410415649414
2009-02-24,24.84253692626953
2009-02-25,24.678531646728516
2009-02-26,23.98797607421875
2009-02-27,23.7635440826416
2009-03-02,22.995317459106445
2009-03-03,22.978046417236328
2009-03-04,23.590913772583008
2009-03-05,22.883100509643555
2009-03-06,22.701826095581055
2009-03-09,22.218446731567383
2009-03-10,23.590913772583008
2009-03-11,23.953462600708008
2009-03-12,24.747587203979492
2009-03-13,24.808015823364258
2009-03-16,24.3936710357666
2009-03-17,25.31728744506836
2009-03-18,25.636674880981445
2009-03-19,25.619407653808594
2009-03-20,25.229467391967773
2009-03-23,26.71660041809082
2009-03-24,26.223766326904297
2009-03-25,26.34480857849121
2009-03-26,27.157562255859375
2009-03-27,26.647428512573242
2009-03-30,25.990312576293945
2009-03-31,26.215133666992188
2009-04-01,26.604202270507812
2009-04-02,27.460163116455078
2009-04-03,27.970291137695312
2009-04-06,27.90113067626953
2009-04-07,27.16619300842285
2009-04-08,27.62444496154785
2009-04-09,28.48040771484375
2009-04-13,28.43718147277832
2009-04-14,28.091341018676758
2009-04-15,28.013511657714844
2009-04-16,28.739795684814453
2009-04-17,28.800323486328125
2009-04-20,27.87516975402832
2009-04-21,28.264265060424805
2009-04-22,28.35072135925293
2009-04-23,28.627397537231445
2009-04-24,29.128870010375977
2009-04-27,29.163450241088867
2009-04-28,28.947301864624023
2009-04-29,29.34502410888672
2009-04-30,29.63901138305664
2009-05-01,29.716812133789062
2009-05-04,30.30476188659668
2009-05-05,30.278806686401367
2009-05-06,30.287466049194336
2009-05-07,29.578479766845703
2009-05-08,29.595775604248047
2009-05-11,29.69952964782715
2009-05-12,29.336380004882812
2009-05-13,28.549583435058594
2009-05-14,28.86949348449707
2009-05-15,28.852188110351562
2009-05-18,29.604413986206055
2009-05-19,29.742746353149414
2009-05-20,29.63901138305664
2009-05-21,29.094289779663086
2009-05-22,28.99917984008789
2009-05-26,30.079957962036133
2009-05-27,29.872453689575195
2009-05-28,30.218299865722656
2009-05-29,30.590076446533203
2009-06-01,31.463342666625977
2009-06-02,31.506567001342773
2009-06-03,31.411457061767578
2009-06-04,31.76593780517578
2009-06-05,31.800521850585938
2009-06-08,31.705432891845703
2009-06-09,31.94750213623047
2009-06-10,31.835142135620117
2009-06-11,31.835142135620117
2009-06-12,31.688146591186523
2009-06-15,31.03968048095703
2009-06-16,30.737056732177734
2009-06-17,31.03102684020996
2009-06-18,30.970489501953125
2009-06-19,31.302921295166016
2009-06-22,30.367998123168945
2009-06-23,30.298744201660156
2009-06-24,30.809511184692383
2009-06-25,31.415470123291016
2009-06-26,31.484722137451172
2009-06-29,31.55396842956543
2009-06-30,31.493375778198242
2009-07-01,31.510690689086914
2009-07-02,30.818132400512695
2009-07-06,30.653654098510742
2009-07-07,29.891868591308594
2009-07-08,30.047691345214844
2009-07-09,30.099628448486328
2009-07-10,30.2294979095459
2009-07-13,30.809511184692383
2009-07-14,30.922025680541992
2009-07-15,31.960847854614258
2009-07-16,32.341732025146484
2009-07-17,32.51487350463867
2009-07-20,32.82651138305664
2009-07-21,33.05159378051758
2009-07-22,33.328617095947266
2009-07-23,34.0644416809082
2009-07-24,33.804725646972656
2009-07-27,34.0644416809082
2009-07-28,33.83071517944336
2009-07-29,34.0557861328125
2009-07-30,34.2548942565918
2009-07-31,34.1510124206543
2009-08-03,34.6617546081543
2009-08-04,34.6617546081543
2009-08-05,34.39338302612305
2009-08-06,34.09041213989258
2009-08-07,34.52325439453125
2009-08-10,34.280845642089844
2009-08-11,33.98652648925781
2009-08-12,34.514591217041016
2009-08-13,34.705055236816406
2009-08-14,34.306827545166016
2009-08-17,33.3112907409668
2009-08-18,33.78741455078125
2009-08-19,34.02114486694336
2009-08-20,34.41938018798828
2009-08-21,34.87819290161133
2009-08-24,34.84354782104492
2009-08-25,34.94743347167969
2009-08-26,34.88682174682617
2009-08-27,34.97340393066406
2009-08-28,35.00802230834961
2009-08-31,34.65309524536133
2009-09-01,34.00383758544922
2009-09-02,33.97785949707031
2009-09-03,34.20293426513672
2009-09-04,34.93875503540039
2009-09-08,35.26773452758789
2009-09-09,35.570735931396484
2009-09-10,35.9083366394043
2009-09-11,35.942962646484375
2009-09-14,36.08146286010742
2009-09-15,36.19401550292969
2009-09-16,36.72206497192383
2009-09-17,36.71341323852539
2009-09-18,36.774932861328125
2009-09-21,36.88759231567383
2009-09-22,36.9569091796875
2009-09-23,36.783599853515625
2009-09-24,36.454345703125
2009-09-25,36.13372039794922
2009-09-28,36.74895477294922
2009-09-29,36.584312438964844
2009-09-30,36.61029052734375
2009-10-01,35.527164459228516
2009-10-02,35.42316818237305
2009-10-05,35.70912170410156
2009-10-06,36.3416748046875
2009-10-07,36.44567108154297
2009-10-08,36.60162353515625
2009-10-09,36.809600830078125
2009-10-12,36.88759231567383
2009-10-13,36.89624786376953
2009-10-14,37.39883804321289
2009-10-15,37.31217575073242
2009-10-16,37.06956100463867
2009-10-19,37.44215774536133
2009-10-20,37.4508171081543
2009-10-21,37.38147735595703
2009-10-22,37.52880096435547
2009-10-23,37.37283706665039
2009-10-26,37.25152587890625
2009-10-27,36.68828201293945
2009-10-28,35.865074157714844
2009-10-29,36.47166061401367
2009-10-30,35.49248504638672
2009-11-02,35.63981246948242
2009-11-03,35.7524299621582
2009-11-04,35.813114166259766
2009-11-05,36.69694137573242
2009-11-06,36.91358947753906
2009-11-09,37.702110290527344
2009-11-10,37.79741668701172
2009-11-11,38.040061950683594
2009-11-12,37.82342529296875
2009-11-13,38.135372161865234
2009-11-16,38.525299072265625
2009-11-17,38.646610260009766
2009-11-18,38.42999267578125
2009-11-19,37.83208465576172
2009-11-20,37.64143753051758
2009-11-23,38.24801254272461
2009-11-24,38.118045806884766
2009-11-25,38.282676696777344
2009-11-27,37.702110290527344
2009-11-30,37.74542999267578
2009-12-01,38.135372161865234
2009-12-02,38.18735122680664
2009-12-03,38.03139114379883
2009-12-04,38.230674743652344
2009-12-07,38.04871368408203
2009-12-08,37.81474304199219
2009-12-09,38.19601058959961
2009-12-10,38.386661529541016
2009-12-11,38.239349365234375
2009-12-14,38.60329055786133
2009-12-15,38.386661529541016
2009-12-16,38.438655853271484
2009-12-17,37.97072219848633
2009-12-18,38.58958053588867
2009-12-21,39.0235710144043
2009-12-22,39.2579231262207
2009-12-23,39.54434585571289
2009-12-24,39.90887451171875
2009-12-28,40.1171989440918
2009-12-29,39.9522819519043
2009-12-30,40.073787689208984
2009-12-31,39.70923614501953
2010-01-04,40.2907829284668
2010-01-05,40.2907829284668
2010-01-06,40.0477409362793
2010-01-07,40.073787689208984
2010-01-08,40.40363693237305
2010-01-11,40.23870086669922
2010-01-12,39.73527908325195
2010-01-13,40.23003005981445
2010-01-14,40.26475524902344
2010-01-15,39.796051025390625
2010-01-19,40.4383430480957
2010-01-20,39.8568115234375
2010-01-21,39.48358917236328
2010-01-22,38.32919692993164
2010-01-25,38.459388732910156
2010-01-26,38.49411392211914
2010-01-27,38.79789733886719
2010-01-28,37.79974365234375
2010-01-29,37.14007568359375
2010-02-01,37.54802703857422
2010-02-02,37.88653564453125
2010-02-03,38.0948486328125
2010-02-04,36.99252700805664
2010-02-05,37.30500030517578
2010-02-08,37.03593444824219
2010-02-09,37.41782760620117
